ABADAN ,عبادان,Şehir#Şehir#Basra#İran (1847) (Erzurum Antlaşmasıyla İran’a verildi.)#
CENÛBİYE ,جنوبيه ,Nahiye (1861) KısrevanCebelilünnan#
CENZUR ,جنزور ,Nahiye (1866) MerkezTrablusgarbLibya#
CERABLUS ,جرابلس ,Nahiye (Köylerinin çoğu#şimdi Barak=Kargamış#ilçesine bağlı)#NizipGaziantep#Suriye#
CERBAZ ,جرباز ,Kaza (1847) LazkiyeSayda eyâleti#
CERBE ,جربه ,Ada Tunus#
CERBUİYE ,جربوعيه ,Kaza (1851) DivaniyeBağdad maa Şehrizor eyâleti#
CERCERAYA ,جرجرايا ,Kasaba Bağdad-Irak#
CERDİ ,جردی ,Kasaba Cezayir#
CERD-İ BEYRUT ,جرد بيروت ,Nahiye (1517) ŞamArap vilâyeti#
CERD-İ CENÛBİ ,جرد جنوبی ,Nahiye (1861) ŞufCebel-i Lübnan sancağı#
CERD-İ CÜBEYL ,جرد جبيل ,Kaza (1856)#Nahiye (1861)#Cebel-i DürziSayda eyâleti#KisrevanCebel-i Lübnan sancağı#
CERD-İ KİSREVAN ,جرد کسروان ,Nahiye (1861) KisrevanCebeli Lübnan sancağı#
CERD-İ ŞİMALİ ,جرد شمالی ,Nahiye (1861) ŞufCebel-i Lübnan sancağı#
CERİD ,جريد ,Kaza (1846)#Nahiye (1870)#ÜzeyirAdana eyâleti#CeyhanAdanaAdana vilâyeti#
CERME ,جرمه ,Kasaba FizanTrablusgarbLibya#
CERRAR ,جرار ,Kaza (1634) NablusSayda eyâleti#
CER’ÜL-ALEFE ,جرألعلفه ,Nahiye (1888) MerkezLazkiyeBeyrut vilâyeti#
CESAN ,جسان ,Kaza (1855) BedreBağdad maa Şehrizor eyâleti#
CEVARİ ,جواری ,Nahiye (1866) MerkezTrablusgarbLibya#
CEVASA ,جواثا ,Kasaba Bahreyn#
CEVCER,جوجر ,Kasaba DimyatMısır#
CEVDETİYE ,جودتيه ,Nahiye Mrk.#Kasaba#TecirliOsmaniyeCebelibereketAdana#MerkezOsmaniye# 
CEVF,جوف ,Nahiye (1865)#Nahiye#Cebel-i ŞumarŞamSuriye vilâyeti#Cebel-i ŞumarS. Arabistan#
CEVHERLİ ,جوهرلی ,Nahiye Mrk. ÇatalanKaraisalıAdana#
CEVİZDERESİ maa TERME ,جوز دره سی مع ترمه ,Kaza (17.yy.) CanikTrabzon eyâleti#
CEVİZLİ (Gağras) ,جوزلی ,Nahiye (1958) AksekiAntalya#
CEVİZLİK (Bombat) ,جوزلک ,Nahiye (1938) ŞirvanSiirt#(Eski “İskanbo” nahiyesinin devamı)#
CEVİZLİK ,جوزلک ,Kaza Mrk. MaçkaTrabzon#
CEVLÂN ,جولان ,Nahiye (1865) KuneytıraHavranSuriye vilâyeti#
CEVME ,جومه ,Kaza (1847) TrablusşamSayda eyâleti#
CEVRES ,جورس ,Kaza Azerbaycanİran#
CEVVEYS ,جوّيث ,Kasaba Basra-Irak#
Ceyde (ERİKLİ) ,جيدی ,Nahiye (1830)#Köy#AyıntabHalepHalep vilâyeti#MerkezMerkezGaziantep#
"CEYHAN (Yarsuvat, Hamidiye) ",جيحان ,Nahiye#Kaza (1893)#Kaza (1926)#Kaza (1933)#MerkezAdanaAdana vilâyeti#CebelibereketAdana vilâyeti#Cebelibereket#Adana#
CEYLÂNPINAR (Resülayn) (1946’da Ceylanpınar denildi.) ,جيلان پيکار ,Kaza#Kaza (1882)#Kaza#Nahiye (1924)#Kaza (1981)#DiyarbakırDiyarbakır eyâleti#Zor Sancağı#Mardin#ViranşehirUrfa#Şanlıurfa#
CEYRUD GERDAN ,جيرود کردان ,Nahiye (1861) KisrevanCaebelilübnan Sancağı#
CEZAN VE FERSAN ,جزان و فرسان ,Nahiye (1871) EbuarişAsirYemen vilâyeti#
"CEZAYİR-İ BAHR-İ SEFİD (Kaptanpaşa) (Gelibolu, Çanakkale, Sakız, Rodos) ",جزاير بحرسفيد ,Sancak#Eyâlet (1534)#Sancak (1534)#Eyâlet (1555)#Vilâyet (1867) (Barbaros#devrinde Eyâlete Afrika#adaları da dahil idi. Sonraları#sahası kü.ülen Eyâletin#yerine “C. Bahr-i Sefid”#vilâyeti kuruldu. Vilâyetin#ilk Mrk. Çanakkale oldu.#Daha sonra Vilâyet Mrk.#Rodosla Sakız arasında#defalarca gitti-geldi.#Kaptanpaşalık makamı da#“Bahriye Nezareti” oldu.)#Derya Beyliği#Kaptanpaşa eyâleti#Derya beyliği#Kaptanpaşa eyâleti#C. Bahr-i Sefid vilâyeti#
CEZAYİR (Cezayir-i Garb) ,جزاير ,"Eyâlet (1534)#1534-1585#1585-1659#1659-1671#1671-1830#1830-1882#1882#Cezayir eyâleti#Beylerbeyi devri#Paşalar devri#Ağalar devri#Dayılar ve Paşa reisler devri#İsyan, Saldırı ve karışıklık devri#Fransa hâkimiyeti (Barbaros döneminde Cezayir-i#Bahr-i sefid ile birlikte bir Eyâletti. sonraları bu#eyâlete, Cezayir-i Bahr-i sefid’e benzerliği önlemek#için “Cezayir-i Garb veya “Mağrib” eyâleti denildi.#"
CEZİN ,جزين ,Kaza#Kaza (1861)#Cebel-i DürziSayda eyâleti#Cebel-i Lübnan Sancağı#
CEZİRE ,جزيره ,Sancak (19.yy)#Kaza#Bağdad eyâleti#BağdadBağdad vilâyeti#
Cezire-i İbni Ömer (Cezire-i Ömeriyye) (CİZRE) ,جزيرهء ابن عمر ,Kaza (1830)#Kaza (1867)#Kaza (1924)#Kaza (1990)#MardinDiyarbakır eyâleti#MardinDiyarbakır vilâyeti#Mardin#Şirnak#
CEZİRE-İ BEVARİN ve’l- AYN ,جزيرهء بوارين والعين ,Kaza (1849) BasraBağdad maa Şehrizor eyâleti#
CEZİRETÜLAMÂYİR ,جزيرة العماير ,Nahiye KatifNecidBasra#
Cıksı (AĞAÇLI) ,جقسی ,Nahiye (1530)#Nahiye (1924)#MerkezÂmidDiyarbakır eyâleti#KulpDiyarbakır#
CİCELİ (Djidjeli) ,جيجلی ,Kasaba KısantineCezayir#
CİDABİYE ,جدابيه ,Nahiye MerkezBingaziLibya#
CİDDE (Cüdde) ,جده ,Sancak (1528)#Eyâlet Mrk. (1595)#Sancak (1830)#Kaza (1876)#Sancak (-1916)#Harem-i Şerif eyâleti#Habeş eyâleti#Hicaz vilâyeti#MekkeHicaz vilâyeti#Hicaz vilâyeti#
CİDE ,جيده ,Kaza#Kaza (1865)#Kaza (1924)#KastamonuKastamonu eyâleti#KastamonuKastamonu vilâyeti#Kastamonu#
CİDUR maa HAVRAN ,جدور مع حوران ,Kaza HavranŞam eyâleti#
CİFER ,جيفر ,Nahiye MerkezNecidBasra#
CİHANBEYLİ (Aşiret-i Cihanbeyli) ,جهان بکلی ,Sancak (1850)#Kaza (1856)#Nahiye (1865)#Kaza (1926)#Bozok eyâleti#AnkaraBozok eyâleti#AkşehirKonyaKonya vilâyeti#Konya#
CİHANGİR ,جهانکير ,Semt İstanbul#
CİHANGİR ,جهانکير ,Nahiye merkezi SoğukpınarMerkezBursa#
CİL ve ZEBİD ,جيل و زبيد ,Kaza (1855) SamarraBağdad maa Şehrizor eyâleti#
Cilâra (SAKIZLI) ,جيلاره ,Nahiye (1888)#Köy#Köy#BayburtErzurumErzurum vilâyeti#MerkezBayburtGümüşhane#MerkezMerkezBayburt#
CİLLIK ,جِللِق ,Nahiye (1865) MerkezŞamSuriye vilâyeti#
Cilvana (EMİNBEY) ,جيلوانا ,Nahiye (1926) PosofKars#
Cimin (ÜZÜMLÜ) ,جمين ,Nahiye (1865)#Nahiye (1924)#MerkezErzincanErzurum vilâyeti#MerkezErzincan#
Cincife (ÇAMAĞZI) ,جينجيفه ,Nahiye (16.yy.)#Köy#TokatSivas-TokatRum eyâleti#GökdereMerkezTokat#
Cinis (ORTABAHÇE) ,جنس ,Nahiye (16.yy.)#Köy#ŞoğikBayburtRum eyâleti#KandilliAşkaleErzurum#
CİNKİFE ,جينکيفه ,Köy#Kaza merkezi (1958)#YarımcaNizipGaziantep#YavuzeliGaziantep#
CİRCA (Sa’id) (Samah) ,جرجه ,Sancak (1774)#(Müdiriyet)#Mısır eyâleti#
CİSR-İ ÇAŞNİGİR maa KONUR ,جسر چاشنيکير مع قوگر ,Kaza (1849) AnkaraBozok eyâleti#
Cisr-i Ergene (UZUNKÖPRÜ) ,جسر ارکنه ,Kaza (1865)#Kaza (1924)#EdirneEdirne vilâyeti#Edirne#CİSR-İ MUSTAFA PAŞA#
(Mustafa Paşa) (Sivilen-Grad) ,جسر مصطفی پاشا ,Kaza (1865)#Kaza (1913)#EdirneEdirne vilâyeti#HasköyBulgaristan#
Cisr-i Suruç (SURUÇ) ,جسر سروج ,Kaza (1846)#Kaza (1867)#Kaza (1924)#RakkaHalep eyâleti#UrfaHalep vilâyeti#Şanlıurfa#
CİSR-İ ŞUGÛR ,جسر شغور ,Nahiye (1517)#Kaza (1520)#Kaza#HalepArap vilâyeti#HalepHalep eyâleti#HalepSuriye#
CİZAN ,جيزان ,Nahiye#Nahiye#Ebu ArişHudeydeYemen vilâyeti#S. Arabistan#
CİZE ,جيزه ,Sancak (1520)#Kaza (19.yy)#Sancak#Kaza (1876)#Müdiriyet (1890)#Mısır eyâleti#AtfihiyeMısır eyâleti#Mısır eyâleti#KahireMısır hıdiviyeti#Mısır hıdiviyeti#
CİZE ,جيزه ,Nahiye (1865)#Nahiye#SaladKerekSuriye vilâyeti#.rdün#
CİZRE (Cezire-i İbni Ömer) (Cezire-i Ömeriyye) ,جزره ,Sancak (1830)#Kaza#Kaza (1867)#Kaza (1924)#Kaza (1990)#Diyarbakır eyâleti#MardinDiyarbakır eyâleti#MardinDiyarbakır vilâyeti#Mardin#Şırnak#
Cönek (YAYLÂDERE) (Holhol) ,جونک ,Nahiye KiğıBingöl#
CUBAS ,جوباس ,Nahiye (Çolaklı bucağı#bölgesinde idi.)#MerkezMalatyaRum eyâleti#
CULA (Gyula) ,جوله ,Eyâlet Mrk. BekesMacaristan#
CULAB (Merkez Kabahaydar bucağı bölgesinde bulunan akarsuyun adı “Culab suyu”dur.) ,جولاب ,Sancak (1516)#Nahiye#Diyarbakır eyâleti#MerkezUrfaDiyarbakır eyâleti#
CULFA ,جولفه ,Kasaba KarabağAzerbaycan#
CULFAR ,جلفاَر ,Kasaba Amman.rdün#
CUM ,جوم ,Nahiye (1517)#Kaza (1520)#Nahiye#HalepArap vilâyeti#KilisHalep eyâleti#HalepSuriye#
CUMA (Cuma Pazarı) (Serfice Cuması) (Kayalar) ,جمعه ,Kaza (1889) SerfiçeManastır#
Cumaâbâd (SEYDİKÖY) (Cumaovası) ,جمعه آباد ,Nahiye (16.yy.)#Nahiye (1924)#İzmirSığlaKaptanpaşa eyâleti#Merkezİzmir#
CUMA-İ ATİK (Eskicuma) (Tirgovişte) ,جمعهء عتيق ,Kaza (1864)#Kasaba (1878)#Vilâyet (1908)#RuscukTuna vilâyeti#OsmanpazarıBulgaristan eyâleti#Bulgaristan#
CUMA-İ BÂLÂ (Gorna-cumaya) (Blagoev-grad) ,جمعهء بالا ,Kaza (1867)#Vilâyet (1913)#SirozSelânik vilâyeti#Bulgaristan#
CUMAÇAY ,جمعه چای ,Nahiye MerkezAğrı#
Cumaovası (Cumaâbâd) (MENDERES) ,جمعه اووه سی ,Nahiye (16.yy.)#Nahiye (1924)#Kaza (1990)#İzmirSığlaKaptanpaşa eyâleti#Merkezİzmir#İzmir#
CUMAYERİ ,جمعه يری ,Kasaba#Kaza (1999)#GümüşovaDüzceBolu#Düzce#
CUNYE ,جونيه ,Nahiye Lübnan#
CÜBBE ,جُبّهَ ,Nahiye (16.yy.) Ana ve HitDiyarbakır eyâleti#
CÜBBETÜL-GASSÂL ,جُبّة الغصال ,Nahiye (1517) ŞamArap vilâyeti#
CÜBEYL ,جبيل ,Nahiye (1517) TrablusşamArap vilâyeti#
CÜBEYL İSKELESİ ,جبيل اسکله سی ,Nahiye (1861) KisrevanCebel-i Lübnan#
CÜBEYL-İ ULYÂ ,جبيل عليا ,Nahiye (1861) KisveranCebeli Lübnan sancağı#
CÜLMEN ,جولمن ,Nahiye Mrk. AkziyaretMerkezŞanlıurfa##
ÇAÇKA ,چاچقه ,Kaza (1812) Sırp eyâleti#
ÇAD ,چاد ,Sancak (17.yy.)#Sancak#Trablus eyâleti#Sudan#
ÇAĞAN maa KIZILCA ,چاغان مع قزيلجه ,Sancak (1830) Şehrizor eyâleti#
ÇAĞIŞ ,چاغيش ,Nahiye (1943) BigadiçBalıkesir#
ÇAĞLARCA (Amutka) (Peyik) ,چاغلرجه ,Köy#Nahiye#AmutkaHozatElâzığ vilâyeti#HozatTunceli#
ÇAĞLAYAN (Cencige) ,چاغليان ,Nahiye (1865)#Nahiye (1924)#MerkezErzincanErzurum vilâyeti#MerkezErzincan#
ÇAĞLAYAN (Kireçhane) ,چاغليان ,Nahiye MerkezTrabzon#
ÇAĞLAYANCERİD ,چاغليان جريد ,Kaza (1848)#Kasaba (1924)#Kaza ( 1990)#MaraşAdana eyâleti#AğabeyliMerkezMaraş#Kahramanmaraş#
ÇAĞLAYIK maa SARIŞABAN ,چاغلا يق مع صاری شعبان ,Kaza (1846) DramaSelanik eyâleti#
ÇAĞLAYIK ,چاغلا يق ,Nahiye (1846) SarışabanDramaSelânik eyâleti#
ÇAĞRANKAYA ,چاغران قيا ,Nahiye Mrk.#Kaza Mrk. (1945)#İkizdereMerkezRize#İkizdereRize#
ÇAĞŞAK ,چاغشاق ,Nahiye (1865)#Köy#AziziyeSivasSivas vilâyeti#MerkezSarızKayseri#
Çakal (BEŞPINAR) ,چقال ,Nahiye Vezirk.prüSamsun#
ÇAKAL ,چقال ,Nahiye (1865)#Nahiye (1919)#MerkezGümülcineEdirne vilâyeti#MerkezGümülcineYunanistan#
ÇAKALLI ,چقاللی ,"Nahiye (Aşiret adı, lağvedilmiş.#Mevcut dört k.yünden ü.ü#Türkoğlu’na, biri merkez ilçeye#bağlı.)#MerkezMaraşHalep vilâyeti#"
ÇAKNAHOR ,چاقناخور ,Nahiye (1865)#Nahiye (1913)#TırnoviKırkkiliseEdirne vilâyeti#TırnoviBulgaristan#
ÇAKIRALAN ,چاقير آلاگ ,Nahiye (1865)#Köy#Nahiye#HavzaAmasyaSivas vilâyeti#KarahalilHavzaSamsun#HavzaSamsun#
ÇAKIRBEY ,چاقيربک ,Nahiye Mrk.#Köy#ZilanErcişVan#MerkezErcişVan#
ÇAKIRBEYLİ ,چاقيربکلی ,Nahiye (1958) KoçarlıAydın#
ÇAKIRCA maa KULA ,چاقيرجه مع قولا ,Kaza (1841) KütahyaHudavendigâr eyâleti#
ÇAKIRCA ,چاقيرجه ,Köy MerkezKulaManisa#
ÇAKIRHÜYÜK (Keysun) ,چاقير هيوک ,Nahiye (1933)#Nahiye (1954)#BesniMalatya#BesniAdıyaman#
ÇAKIRLAR ,چاقيرلر ,Nahiye MerkezAntalya#
ÇAKMAK (Cedidiye) ,چاقمق ,Köy#Nahiye#ÇayhanEreğliKonya#EreğliKonya#
ÇAL (Demircikara) ,چال ,Kaza (16.yy.)#Kaza (1841)#Kaza (1884)#Kaza (1924)#KütahyaAnadolu eyâleti#K.Hisar-ı SahibHudavendigâr eyâleti#DenizliAydın vilâyeti#Denizli#
Çal (ÇUKURCA) ,چال ,Kaza (1855)#Nahiye (1933)#Kaza (1953)#HakkâriVan eyâleti#MerkezHakkâri#Hakkâri#
ÇALDIRAN (Bayazıtağa) ,چالديران ,Nahiye#Kaza (1990)#MuradiyeVan#Van#
Çalgan (BAĞPINAR) ,چالغان ,Nahiye (1883)#Nahiye (1954)#HısnımansurMalatyaMam.retülaziz vilâyeti#MerkezAdıyaman#
ÇALI ,چالی ,Nahiye MerkezBursa#
ÇALLI ,چاللی ,Nahiye#Köy#MerkezSivasSivas vilâyeti#MerkezSivas#
ÇALTILIBÜK ,چالتيلی بوک ,Nahiye M.KemalpaşaBursa#
ÇAMALAN ,چام آلاگ ,Nahiye Mrk. GülekTarsusİçel#
ÇAMARDI (Maden) ,چام آردی ,Kaza (18.yy.)#Kaza (1866)#Nahiye (1922)#Kaza (1948)#NiğdeKaraman eyâleti#NiğdeKonya vilâyeti#MerkezNiğde#Niğde#
ÇAMASA ,چام آسا ,Sancak (16.yy.)#Sancak (1800)#Sancak (1830)#Sancak (1870)#Rakka eyâleti#Diyarbakır eyâleti#Rakka eyâleti#ZorHalep vilâyeti#
ÇAMAŞ (Ürmeli) ,چاماش ,Nahiye (16.yy.)#Kaza (1856)#Nahiye (1868)#Nahiye (1924)#Kaza ( 1990)#SatılmışCanikRum eyâleti#OrduTrabzon eyâleti#FatsaTrabzonTrabzon vilâyeti#FatsaOrdu#Ordu#
ÇAMELİ (Karaman) (Cumayanı) ,چام ايلی ,Nahiye#Kaza (1953)#KöyceğizMuğla#Denizli#
ÇAMİÇİ (Ardıçlı) ,چام ايچی ,Nahiye NiksarTokat#
ÇAMLIBEL (Çiftlikköy) ,چاملی بل ,Nahiye (1944) MerkezTokat#
ÇAMLIDERE (Şeyhler) ,چاملی دره ,Köy#Kaza (1953)#MerkezKızılcahamamAnkara#Ankara#
ÇAMLIDERE (Mecrihan) ,چاملی دره ,Nahiye MerkezŞanlıurfa#
ÇAMLIHEMŞİN (Sırt) ,چاملی همشين ,Kaza (1960) Rize#
ÇAMLIK (Parga = Reşadiye) ,چاملق ,Sancak (1909) Yanya vilâyeti#
ÇAMLIKAYA (Hunut) ,چاملی قيا ,Nahiye İspirErzurum#
ÇAMLIYAYLÂ (Namrun) ,چاملی يايلا ,Nahiye#Kaza (1990)#Tarsusİçel#İçel#
ÇAMOLUK (Mindaval) (Teştik) ,چام اولوق ,Nahiye (1865)#Nahiye (1933)#Kaza (1990)#AlucraK.Hisar-ı ŞarkîSivas vilâyeti#AlucraGiresun#Giresun#
ÇAMSARI ,چام صاری ,Nahiye Mrk. YalankozKırıkhanHatay#
ÇAN (Pazarköy) ,چاگ ,Kaza (1530)#Nahiye (1886)#Kaza (1945)#BigaAnadolu eyâleti#MerkezBiga sancağı#Çanakkale#
ÇAN ,چاگ ,Nahiye (1540)#Nahiye (1929)#Nahiye (1936)#KiğıErzurumErzurum eyâleti#KiğıErzincan#KarakoçanElâzığ#
ÇANAD (Sana‘d) ,چناد ,Sancak (1552) Tımışvar eyâleti#
ÇANAKÇI (Kuzca) ,چناقچی ,Nahiye#Kaza (1990)#GöreleGiresun#Giresun#
ÇANAKKALE (Kale-i Sultaniye) ,چناق قلعه ,Vilâyet Mrk. (1867)#Sancak Mrk. (1886)#Vilâyet (1924)#C.Bahr-i Sefid vilâyeti#Biga sancağı#Çanakkale#
ÇANDARLI ,چاندارلی ,Kaza (1847)#Nahiye (1890)#Nahiye (1928)#KaresiHudavendigâr eyâleti#BergamaİzmirAydın vilâyeti#Dikiliİzmir#
ÇANDIR ,چاندير ,Nahiye (1948)#Kaza (1990)#ÇayıralanYozgat#Yozgat#
ÇANDIR ,چاندير ,Nahiye KalecikAnkara#
ÇANİÇE ,چانيچه ,Kaza (1866)#Kaza#BosnaBosna vilâyeti#Bosna-Hersek#
ÇANKAYA ,چاگ قيا ,Kaza (1936) Ankara#
ÇANKIRI (Kengırı) ,چاگ قيری ,Sancak (1530)#Sancak (1846)#Sancak (1849)#Sancak (1867)#Vilâyet (1924)#Anadolu eyâleti#Ankara eyâleti#Bozok eyâleti#Kastamonu vilâyeti#Çankırı#
ÇANKULA ,چانقوله ,Sancak (17. yy.)#Sancak (18. yy.)#Bağdad eyâleti#Şehrizor eyâleti#
Çanlı (Osmanlı) (YENİKONAK) ,چاگلی ,Kaza (1841)#Nahiye (1865)#Nahiye (1924)#SinopKastamonu eyâleti#İstefanSinopKastamonu vilâyeti#AyancıkSinop#
ÇANŞA ,چاگشا ,Nahiye (1530)#Köy#MerkezSaruhanAnadolu eyâleti#MerkezSelendiManisa#
ÇAPAKÇUR (Çevlik) (1944’te adı “Bingöl” olmuştur.) ,چپاقچور ,Sancak (1517)#Kaza (1848)#Kaza (1878)#Kaza (1924)#Kaza (1927)#Kaza (1929)#İl Mrk. (1936)#Diyarbakır eyâleti#DiyarbakırDiyarbakır eyâleti#GençBitlis vilâyeti#Genç#Elâzığ#Muş#Bingöl#
ÇARDAK ,چارطاق ,Köy#Nahiye#Kaza (1958)#İrleGarbîkaraağaçDenizliAydın#AcıpayamDenizli#Denizli#
ÇARDAK ,چارطاق ,Nahiye GöksunKahramanmaraş#
ÇARDAK ,چارطاق ,Nahiye (1886)#Kasaba (1926)#LapsekiBiga sancağı#MerkezLapsekiÇanakkale#
ÇARDAK ,چارطاق ,Kaza (1812)#Kaza (1908)#RuscukSilistre eyâleti#RuscukBulgaristan#
ÇARDI ,چاردی ,Nahiye Mrk. (1867)#Nahiye Mrk. (1924)#Kaza Mrk. (1990)#HarmancıkAdranosBursaHudavendigâr#vilâyeti#HarmancıkOrhaneliBursa#HarmancıkBursa#
Çarkıpare (SAYGEÇİT) ,چارخپاره ,Nahiye Mrk. (1869)#Köy#Sırkıntı-i ZirMerkezAdanaAdana vilâyeti#MerkezİmamoğluAdana#
Çarpın (IŞIKLI) ,چارپين ,Nahiye (1865)#Köy#AyıntabHalebHalep vilâyeti#MerkezMerkezGaziantep#
"Çarsancak (AKPAZAR) (Peri) (Dört sancak: Çemişgezek, Petek, Sağman ve Mazgird idi.) ",چارسنجاق ,Sancak (16.yy.)#Kaza (1855)#Kaza (1888)#Nahiye (1927)#Nahiye (Sancak merkezi ilk#dönemde Pertek idi.)#Diyarbakır eyâleti#HarputDiyarbakır eyâleti#DersimMam.retülaziz vilâyeti#PertekElâzığ#MazgirtTunceli#
ÇARŞAMBA maa GERZE ,چهارشنبه مع کرزه ,Kaza (1846) SinopKastamonu eyâleti#
ÇARŞAMBA maa ARIM ,چهارشنبه مع آريم ,Kaza (16.yy.) CanikTrabzon eyâleti#
ÇARŞAMBA (Çarşamba eski “Arım” bölgesinde kurulmuştur. Bu ilçede halen “Arım” önekli beş köy vardır.) ,چهارشنبه ,Kaza (1868)#Kaza (1924)#CanikTrabzon vilayeti.#Samsun#
Çarşamba (SEBEN) (Hacıoğlan) ,چهارشنبه ,Nahiye (1864)#Nahiye (1924)#MudurnuBoluKastamonu vilâyeti#MerkezBolu#
Çarşamba (BULDAN) ,چهارشنبه ,Kaza#Kaza (1846)#Kaza (1924)#KütahyaAnadolu eyâleti#DenizliAydın eyâleti#Denizli#
ÇARŞAMBA ,چهارشنبه ,Kaza Mrk. AzdavayKastamonu#
Çarşamba (Hızırbey ili) (ÇAYCUMA) ,چهارشنبه ,Kaza (1530)#Nahiye (1865)#Nahiye (1924)#Kaza (1944)#BoluAnadolu eyâleti#BartınKastamonu vilâyeti#DevrekZonguldak#Zonguldak#
ÇARŞAMBA (Sarıgöl) ,چهارشنبه ,Kaza (1836) ManastırRumeli eyâleti#
ÇARŞIBAŞI (İskefiye) ,چارشو باشی ,Nahiye#Kaza (1990)#VakfıkebirTrabzon#Trabzon#
ÇAT (Oyuklu) ,چات ,Köy#Nahiye (1924)#Kaza (1934)#Nahiye#Nahiye (1946)#Kaza (1954)#YaviTercanErzurum#TercanErzurum#Erzurum#AşkaleErzurum#MerkezErzurum#Erzurum#
ÇATAK (Şatak) ,چتاق ,Kaza#Kaza (1845)#Kaza (1882)#Kaza (1924)#VanVan eyâleti#Van maa HakkâriErzurum eyâleti#VanVan vilâyeti#Van#
ÇATAK ,چتاق ,Nahiye (1865)#Nahiye (1919)#AhiçelebiGümülcineEdirne#AhiçelebiGümülcineYunanistan#
ÇATAKKÖPRÜ (Malabâdi) ,چتاق کوپری ,Nahiye (1865) SilvanDiyarbakır#
ÇATAK maa ÖZVİRAN ,چتاق مع اوزويران ,Nahiye#Köy#NiksarTokatSivas vilâyeti#ÇamiçiNiksarTokat#
ÇATALAN (Cevherli) ,چاط آلاگی ,Nahiye KaraisalıAdana#
ÇATALARMUT (Esesi) ,چتال آرمود ,Nahiye (1865)#Nahiye (1924)#MerkezErzincanErzurum#MerkezErzincan#
Çatalbergos (UMURBEY) ,چتال برغوس ,Kaza (1530)#Nahiye (1924)#BigaAnadolu eyâleti#LapsekiÇanakkale#
Çatalburgazı (LÜLEBURGAZ) ,چتال بورغازی ,Kaza (1865)#Kaza (1924)#KırkkiliseEdirne vilâyeti#Kırklareli#
ÇATALCA ,چتالجه ,Kaza (1852)#Sancak (1872)#Müs. San. (1888)#Vilayet (1924)#Kaza (1926)#Kaza-yı ErbaaEdirne Bâb-ı Zabtiye (Zaptiye Nezareti)#Çatalca eyâleti# sancağı#Çatalca vilayeti#İstanbul#
ÇATALCA (Pharsala) ,چتالجه ,Kasaba YenişehirTırhala Sancağı#
ÇATALÇAM (Zevker) ,چتال چام ,Nahiye (1865)#Nahiye (1924)#RefahiyeErzincanErzurum#RefahiyeErzincan#
ÇATALKALE ,چتال قلعه ,Nahiye (16.yy.) MerkezÇemişgezekDiyarbakır eyâleti# 
ÇATALKÖY,چتال کوی ,Kaza Mrk. (1867) MalvizKandiyeGirit vilâyeti#
ÇATALPINAR (Çatak) ,چتال پيکار ,Kasaba#Kaza (1990)#MerkezFatsaOrdu#Ordu# 
ÇATALZEYTİN,چتال زيتون ,Nahiye#Kaza (1954)#İneboluKastamonu#Kastamonu# 
ÇAVDAR,چاودار ,Nahiye (1867)#Köy#HamidiyeK.Hisar-ı ŞarkîSivas#MerkezMesudiyeOrdu#
ÇAVDARHİSAR ,چاودارحصار ,Kasaba#Kaza (1990)#ÖrencikEmetKütahya#Kütahya#
ÇAVDIR ,چاودير ,Nahiye (1924)#Nahiye (1953)#Kaza (1990)#TefenniBurdur#GölhisarBurdur#Burdur#
ÇAVUŞ ,چاوش ,Nahiye SeydişehirKonya#
ÇAVUŞLAR ,چاوشلر ,Nahiye Mrk. DörtdivanGeredeBolu#
ÇAVUŞLU ,چاوشلی ,Kasaba MerkezGöreleGiresun#
ÇAY ,چای ,Nahiye (1530)#Kaza (1841)#Nahiye (1909)#Kaza (1958)#BolvadinK.Hisar-ı SahibAnadolu eyâleti#K.Hisar-ı SahibHudavendigâr eyâleti#BolvadinK.Hisar-ı Sahib sancağı#Afyonkarahisar#
ÇAY (Çayköy) ,چای ,Nahiye (1865)#Köy#GümüşhacıköyAmasyaSivas vilâyeti#Hamam.züGümüşhacıköyAmasya#
ÇAYAĞZI ,چای آغزی ,Nahiye SirozSelânikYunanistan#
ÇAYBAĞI (Karaçor) ,چای باغی ,Nahiye#Nahiye (1990)#PaluElâzığ#KovancılarElâzığ#
ÇAYBAŞI (Çilâder) ,چای باشی ,Nahiye#Nahiye#Kaza (1990)#ÜnyeOrdu#İkizceOrdu#Ordu#
ÇAYCUMA (Hızırbey ili) (Çarşamba) ,چای جمعه ,Kaza (1530)#Nahiye (1865)#Nahiye (1924)#Kaza (1944)#BoluAnadolu eyâleti#BartınBoluKastamonu eyâleti#DevrekZonguldak#Zonguldak#
ÇAYELİ (Mapavri) (Yenipazar) ,چای ايلی ,Nahiye (1865)#Nahiye (1924)#Kaza (1944)#MerkezRizeTrabzon vilâyeti#MerkezRize#Rize#
ÇAYHAN ,چايخان ,Nahiye#Kasaba#EreğliKonya#ÇakmakEreğliKonya#
ÇAYIRALAN (Çayırşeyhi) (Akdağ) ,چاير آلاگ ,Nahiye (1887)#Kaza (1948)#BoğazlıyanYozgat#Yozgat#
ÇAYIRBAŞI (Okam) ,چاير باشی ,Nahiye (1926)#Nahiye (1992)#GöleKars#GöleArdahan#
ÇAYIRHAN ,چايرخان ,Nahiye NallıhanAnkara#
ÇAYIRKENT (Gaman) (Gökçepınar) ,چاير کند ,Nahiye MerkezSamsun#
