İdârî Birimin Yeni Harflerle Adı 1	İdârî Birimin Yeni Harflerle Adı 2	İdârî Birimin Yeni Harflerle Adı 3	İdârî Birimin Yeni Harflerle Adı 4	İdârî Birimin Yeni Harflerle Adı 5	İdârî Birimin Yeni Harflerle Adı note	Eski Harflerle Adı	Unvan 1	Unvan 1 year	Unvan 1 note	Bagli 1 4	Bagli 1 3	Bagli 1 2	Bagli 1 1	Unvan 2	Unvan 2 year	Unvan 2 note	Bagli 2 4	Bagli 2 3	Bagli 2 2	Bagli 2 1	Unvan 3	Unvan 3 year	Unvan 3 note	Bagli 3 4	Bagli 3 3	Bagli 3 2	Bagli 3 1	Unvan 4	Unvan 4 year	Unvan 4 note	Bagli 4 3	Bagli 4 2	Bagli 4 1	Unvan 5	Unvan 5 year	Unvan 5 note	Bagli 5 3	Bagli 5 2	Bagli 5 1	Unvan 6	Unvan 6 year	Unvan 6 note	Bagli 6 2	Bagli 6 1	Unvan 7	Unvan 7 year	Unvan 7 note	Bagli 7 2	Bagli 7 1	Unvan 8	Unvan 8 year	Unvan 8 note	Bagli 8 2	Bagli 8 1	Unvan 9	Unvan 9 year	Bagli 9 3	Bagli 9 2	Bagli 9 1	Unvan 10	Unvani 10 year	Bagli 10 2	Bagli 10 1	Unvan 11	Unvani 11 year	Bagli 11 2	Bagli 11 1	Unvan 12	Bagli 12	Unvan 13	Bagli 13	Unvan 14	Unvan 14 year	Bagli 14
GEDİKÇİK						کديکجق	Kaza	17. yy.				Sivas	Sivas eyâleti																																																													
GEDİKLER	Germili					کديکلر	Nahiye				Çemişgezek	Dersim	Mamûretülaziz	Nahiye	1924				Çemişgezek	Elâzığ	Nahiye	1935				Çemişgezek	Tunceli																																															
GEDİKLİ						کديکلی	Kaza	1867				Selânik	Selânik vilâyeti																																																													
GEDİKSARAY	Varay					کديکسرای	Nahiye					Merkez	Amasya	Nahiye	1954				Göynücek	Amasya																																																						
GEDİZ						کدوس	Kaza	16. yy.				Kütahya	Anadolu eyâleti	Kaza	1924					Kütahya																																																						
GEDÜK						کدوک	Nahiye		Şarkışla yöresinde idi.		Bozok	Bozok	Zülkadriye eyâleti																																																													
Geldiklan	Zara	DOĞANTEPE				کلدکلان	Nahiye	~1530			Merkez	Amasya	Rum eyâleti	Nahiye	1865			Merkez	Amasya	Sivas vilâyeti	Nahiye	1924				Merkez	Amasya																																															
GELEMBE	Gelenbe					کلنبه	Nahiye	1867			Kırkağaç	Saruhan	Aydın vilâyeti	Nahiye	1924				Kırkağaç	Manisa																																																						
GELENDOST						کلندوس	Köy				Afşar	Şarkikaraağaç	Isparta	Nahiye					Yalvaç	Isparta	Kaza	1954					Isparta																																															
GELENGEÇ						کلنکچ	Nahiye					Hekimhan	Malatya	Köy				Kurşunlu	Hekimhan	Malatya																																																						
GELENGİRAS maa GELDİKLAN						کلنکراس مع کلدکلان	Kaza	1847				Çorum-Amasya	Sivas eyâleti																																																													
GELİBOLU	Kalipolis					کليبولی	Sancak	1533					Rumeli eyâleti	Eyâlet merkezi						Kaptanpaşa eyâleti	Sancak	1846					Edirne eyâleti	Sancak	1865				Edirne vilâyeti	Vilâyet	1924				Gelibolu	Kaza	1926			Çanakkale																														
Geligüzan	CEVİZLİDERE	Tapik				کليکوزان	Nahiye	1884			Merkez	Muş	Bitlis vilâyeti	Köy				Merkez	Merkez	Muş																																																						
GELİNCİK						کلينجک	Kasaba						Çerkezistan	Kasaba		Müstahkem bir mevkidir.			Abaza	Rusya																																																						
GELMERİYE						کلمريه	Nahiye	1867			Merkez	Selânik	Selânik vilâyeti																																																													
Gelveri	GÜZELYURT					کلوَری	Nahiye					Aksaray	Niğde	Kaza	1989					Aksaray																																																						
GELYOÇ						کليوچ	Kaza	19. yy.				Bihke	Bosna eyâleti																																																													
GEMEREK	Gemerekâbâd					کمرک	Nahiye	1865			Tonus	Sivas	Sivas vilâyeti	Nahiye	1924				Şarkışla	Sivas	Kaza	1953					Sivas																																															
GEMİYANI						کمی يانی	Kaza merkezi		Gemiyanı, halen Türkeli’nin bir mahallesidir.			Türkeli	Sinop																																																													
GEMLİK						کمليک	Kaza	1841				Hudavendigâr	Hudavendigâr eyâleti	Kaza	1867				Bursa	Hudavendigâr vilâyeti	Kaza	1924					Bursa																																															
GENCE	Elisavetpol	Krovâbâd				کنجه	Eyâlet	1588					Osmanlı yönetimi	Eyâlet	1606					İran yönetimi	Eyâlet	1723					Osmanlı yönetimi	Eyâlet	1735				İran yönetimi	Başkent	1747				Gence Hanlığı	Kasaba	1828			Rusya yönetimi	Başkent	1918-1920			Azerbaycan	Şehir			Azerbaycan																					
GENCEK						کنجک	Köy				Merkez	Seydişehir	Konya	Nahiye		Lağvedilerek köyleriyle birlikte ~ 1990’dan sonra Derebucak ilçesinin merkez bucağını oluşturmuştur.			Beyşehir	Konya																																																						
GENÇ	Darahini					کنج	Sancak	1517					Diyarbakır eyâleti	Kaza	1848				Diyarbakır	Diyarbakır eyâleti	Nahiye	1868			Lice	Diyarbakır	Diyarbakır vilâyeti	Sancak	1878				Bitlis vilâyeti	Vilâyet	1924				Genç	Kaza	1927			Elâzığ	Kaza	1929			Muş	Kaza	1936		Bingöl																					
Genezin	ÖZKONAK					که نه زين	Nahiye					Avanos	Nevşehir																																																													
Gercanis	REFAHİYE					کرجانيس	Nahiye	16. yy.			Merkez	Kemah	Rum eyâleti	Kaza	1857				Dersim	Harput eyâleti	Kaza	1865				Erzincan	Erzurum vilâyeti	Kaza	1924				Erzincan																																									
GERCÜŞ						کرجوش	Köy				Hasankeyf	Midyat	Mardin	Kaza	1926					Mardin	Kaza	1990					Batman																																															
GEREDE						کرده	Kaza	~1530				Bolu	Anadolu eyâleti	Kaza	1864				Bolu	Kastamonu vilâyeti	Kaza	1924					Bolu																																															
Gereme	BAĞDAMLARI					کرمه	Köy				Peçin	Menteşe	Anadolu eyâleti	Kaza	~1826				Menteşe	Aydın eyâleti	Köy				Merkez	Milâs	Muğla																																															
GERGER-KÂHTA						کرکر-کاحته	Sancak	1517					Arap vilâyeti	Sancak	1520					Rum eyâleti																																																						
GERGER						کرکر	Kaza	1846				Besni	Harput eyâleti	Nahiye	1884			Pütürge	Mamûretülaziz	Mamûretülaziz vilâyeti	Nahiye	1924				Pütürge	Malatya	Kaza	1954				Adıyaman																																									
Gerimter	BALABAN					کرمتر	Nahiye	1865			Darende	Sivas	Sivas vilâyeti	Nahiye	1934				Darende	Malatya																																																						
GERİŞ						کريش	Nahiye	1958				Akseki	Antalya																																																													
GERMAT	Gyarmat					کرمات	Sancak	1596					Eğri eyâleti																																																													
GERME						کرمه	Nahiye	1884			Sûkuşşüyûh	Müntefik	Basra vilâyeti																																																													
GERMENCİK	İneâbâd					کرمنجک	Nahiye	1867			Merkez	Aydın	Aydın vilâyeti	Kaza	1948					Aydın																																																						
GERMİLİ	Karaballı Germili					کرميلی	Nahiye		Lağvedilmiş.			Hozat	Elâzığ																																																													
Germili	GEDİKLER					کرميلی	Nahiye	1888			Çemişgezek	Dersim	Mamûretülaziz vilâyeti	Nahiye	1924				Çemişgezek	Elâzığ	Nahiye	1935				Çemişgezek	Tunceli																																															
Germiyan	KÜTAHYA					کرميان	Sancak	1867					Hudavendigâr vilâyeti	Vilâyet	1924					Kütahya																																																						
Gerur	ORTABAĞ					که رور	Nahiye merkezi				Güyan	Beytüşşebab	Hakkâri	Nahiye	1957				Uludere	Hakkâri	Nahiye	1990				Uludere	Şırnak																																															
GERZE						کرزه	Nahiye	1865			Merkez	Sinop	Kastamonu vilâyeti	Kaza	1924					Sinop																																																						
Gevar	YÜKSEKOVA	Dize			1935’te adı Yüksekova oldu.	کوار	Kaza	1855				Hakkâri	Van eyâleti	Kaza	1865				Van maa Hakkârî	Erzurum vilâyeti	Kaza	1882				Hakkâri	Van vilâyeti	Kaza	1926				Hakkâri																																									
GEVAŞ	Vustan					کواش	Kaza	1860				Van maa Hakkârî	Van eyâleti	Kaza	1882				Van	Van vilâyeti	Kaza	1924					Van																																															
GEVENLÜ						گونلو	Nahiye		Karakoçan’ın Çan bucağı bölgesinde idi.		Merkez	Kiğı	Diyarbakır eyâleti																																																													
GEVEZİD						گوه زيد	Kaza	17. yy.				Gümüşhane	Trabzon eyâleti																																																													
Gevezid	Karagevezid	TOPLUKONAK				گوه زيد	Nahiye	~1530			Merkez	Karahisar-ı Şarkî	Rum eyâleti	Köy				Merkez	Şebinkarahisar	Giresun																																																						
GEVGİLİ						کوکيلی	Kaza				Selânik	Selânik	Yunanistan																																																													
Geyikler	DİNAR					کيکلر	Kaza	~1530				Kütahya	Anadolu eyâleti	Kaza	1842				Kütahya	Hudavendigâr eyâleti	Nahiye	~1909				Karahisar-ı Sahib	Hudavendigâr vilâyeti	Kaza	~1912				Afyonkarahisar																																									
GEYİKLİ						کيکلی	Nahiye					Ezine	Çanakkale																																																													
GEYİKPINAR	İğik	Kolanis				کيک پيکار	Nahiye					Mutki	Bitlis																																																													
GEYİKSUYU	Sin				Son dönemde nahiye g.rünmüyor. Lağvedilmiş olmalı.	کيک صويی	Nahiye	1877				Hozat	Mamûretülaziz vilâyeti	Nahiye	1924				Hozat	Elâzığ	Nahiye	1935				Hozat	Tunceli																																															
GEYİKYAN						کيکيان	Nahiye	1865			Merkez	Musul	Van eyâleti																																																													
GEYLÂN	Noveberde					کيلان	Kaza	1846				Priştine	Üsküp eyâleti	Kaza	1877				Priştine	Kosova vilâyeti																																																						
GEYLÂN						کيلان	Kaza	1861				Kıbrıs	Cezayir-i Bahr-i Sefid eyâleti																																																													
GEYLÂN						کيلان	Sancak	17. yy.					Bağdad eyâleti	Nahiye	19. yy.				Zuhab	İran																																																						
GEYLÂN	Ceylân					کيلان	Eyâlet						İran																																																													
GEYRE						کيره	Nahiye	~1530			Yenişehir	Aydın	Anadolu eyâleti	Köy				Merkez	Karacasu	Aydın																																																						
GEYVE						کيوه	Kaza	~1530				Hudavendigâr	Anadolu eyâleti	Kaza	1874					İzmit sancağı	Kaza	1924					Kocaeli sancağı	Kaza	1954				Sakarya																																									
GEZİ	Gesi					کسی	Nahiye					Merkez	Kayseri	Nahiye	~1990				Melikgazi	Kayseri																																																						
GEZİN						کزين	Nahiye	1889			Merkez	Erganimadeni	Diyarbakır	Köy				Merkez	Maden	Elâzığ																																																						
GEZNA					Antik kasaba olup, Mecusî ateşgedesi ve Keyhusrev’in sarayı ile ünlü idi.	کزنا	Kasaba				Merâğa	Azerbaycan	İran																																																													
GİLİNDİR						کلندر	Nahiye	1867			Katrin	Selânik	Selânik vilâyeti																																																													
Gilindire	AYDINCIK	İskele				کلندره	Nahiye	1870			Gülnar	İçil	Adana vilâyeti	Nahiye	1933				Gülnar	İçel	Kaza	~1990					Mersin																																															
GİNAREŞ						کنارش	Nahiye	~1530			Merkez	Alâiye	Anadolu eyâleti																																																													
Gireği	ARSLANAPA					کره کی	Nahiye	~1530			Merkez	Kütahya	Anadolu eyâleti	Nahiye	1924				Merkez	Kütahya	Kaza	~1990					Kütahya																																															
GİREM						کرم	Nahiye	1865			Havza	Amasya	Sivas vilâyeti	Köy				Merkez	Havza	Samsun																																																						
GİRENES						کره ناس	Nahiye merkezi				Köprülü	Gündoğmuş	Antalya																																																													
Gireniz	PAMUKÖREN					کره گز	Nahiye	1955				Kuyucak	Aydın																																																													
Girenizler	GÖKPINAR					کره گزلر	Nahiye	16. yy.			Muğla	Menteşe	Anadolu eyâleti	Kaza	1811				Menteşe	Aydın eyâleti	Köy				Merkez	Yatağan	Muğla																																															
GİRESUN						کيره سون	Nahiye merkezi	1486		Çepni vilâyeti (nahiye statüsünde)	Kürtün	Trabzon	Rum eyâleti	Kaza	1554				Trabzon	Erzurum eyâleti	Kaza	1585				Trabzon	Trabzon eyâleti	Kaza	1850			Karahisar-ı Şarkî	Sivas eyâleti	Kaza	1855			Ordu	Trabzon eyâleti	Kaza	1856		Trabzon	Trabzon eyâleti	Kaza	1875-78		Karahısar-ı Şarkî	Sivas vilâyeti	Kaza	1879		Trabzon	Trabzon vilâyeti	Müstakil sancak	1920			Giresun sancağı	Vilâyet	1924		Giresun											
Giresun	SAVAŞTEPE				1936’da “Savaştepe” oldu.	کيره سون	Nahiye	~1530			İvrindi	Karesi	Anadolu eyâleti	Nahiye	1867			Merkez	Karesi	Hudavendigâr vilâyeti	Kaza	1954					Balıkesir																																															
GİREVLİ						کرولی	Kaza	16. yy.				Niğde	Karaman eyâleti																																																													
GİRİD	Kandiye, Hanya					کريد	Eyâlet	17. yy.					Girit eyâleti	Eyâlet	1822-1840					Mısır yönetimi	Vilâyet	1867					Girit vilâyeti	Vilâyet	1890				Otonom idare	Vilâyet	1913				Yunanistan																																			
GİRMEĞİ						کرمکی	Kaza merkezi	1846			Bucak	Teke	Karaman eyâleti	Köy		1928 tarihli köyler kitabında var.		Merkez	Bucak	Burdur																																																						
GİRMELİ	Habab				1947’de Girmeli adıyla yazıldı.	کيرمه لی	Kaza	16. yy.				Diyarbakır	Diyarbakır eyâleti	Nahiye	1867			Nusaybin	Mardin	Diyarbakır vilâyeti	Nahiye	1924				Nusaybin	Mardin																																															
GİRNE	Kerynia					کيرنه	Sancak	1571					Kıbrıs eyâleti	Sancak	1924					Kaptanpaşa eyâleti	Kaza						Kıbrıs																																															
GLAFKA						غلافقه	Kasaba	1608				Yemen	Yemen vilâyeti																																																													
GLAMOÇ						غلاموچ	Kaza	1866				Travnik	Bosna vilâyeti																																																													
Gol	GOLAN	Kunaytıra				غول	Sancak	1859-1862					Şam eyâleti																																																													
